ID,Nome do Item,Medida do Item,Preferência de cor,Tipo da Lista,Item disponivel ou não,Quem escolheu
87,Kit Toalha Lavabo Buddemeyer,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
86,Capacho Porta de Entrada,-,Marrom,chá de panela,,-
85,Mini Processador,-,Preto ou Inox,chá de panela,,-
84,Espremedor Amassador Alho,-,-,chá de panela,,-
83,Jogo para Vinho,-,Preto ou Inox,chá de panela,,-
82,Varal de Teto,-,-,chá de panela,,-
81,Conjunto Frascos Recarregáveis de Shampoo e Condicionador,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
80,Prateleira Suporte para Shampoo,-,Preto,chá de panela,,-
79,Liquidificador,-,Preto,chá de panela,,-
78,Batedeira,-,Preto,chá de panela,,-
77,Ferro de Passar Roupa,-,-,chá de panela,,-
76,Ferro de Passar Roupa Vertical,-,-,chá de panela,,-
75,Tábua de Passar Roupa,-,-,chá de panela,,-
74,Martelo de Carne,-,Preto ou Inox,chá de panela,,-
73,Mixer,-,Preto ou Inox,chá de panela,,-
72,Torradeira,-,Preto ou Inox,chá de panela,,-
71,Saleiro,-,Cerâmica,chá de panela,,-
70,Desentupidor de Pia + Rodo de Pia,-,-,chá de panela,,-
69,Conjunto Panos de Chão,-,-,chá de panela,,-
68,Conjunto Moedor de Pimenta e Sal,-,-,chá de panela,,-
67,Pegador de Salada,-,Inox,chá de panela,,-
66,Sanduicheira,-,Preto ou Inox,chá de panela,,-
65,Capa de Colchão Queen,-,-,chá de panela,,-
64,Capa de Colchão Queen,-,-,chá de panela,,-
63,Garrafa Térmica para Café,-,Preto ou Inox,chá de panela,,-
62,Leiteira com tampa,-,Preto,chá de panela,,-
61,Fruteira de Mesa,-,-,chá de panela,,-
60,Conjunto de Porta Mantimentos,-,-,chá de panela,,-
59,Capa Para Maquina De Lavar,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
58,Cesta Organizadora para Papel Higiênico,-,-,chá de panela,,-
57,Lixeira 5L,-,Preto ou Inox,chá de panela,,-
56,Porta de Papel Toalha,-,-,chá de panela,,-
55,Cesto Para Roupa Suja,-,"Preto, Branco ou Cinza",chá de panela,,-
54,Porta Escova de Dente,-,"Preto, Branco ou Cinza",chá de panela,,-
53,Escova Sanitária,-,Tons Escuros,chá de panela,,-
52,Balde 5L + Panos de Chão,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
51,Balde 12L + Panos de Chão,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
50,Balde 10L + Panos de Chão,-,"Preto, Branco, Cinza ou Azul",chá de panela,,-
49,Tábua de Corte,-,-,chá de panela,,-
48,Dispenser para Detergente e Bucha,-,"Preto, Cinza ou Transparente",chá de panela,,-
47,Rodo de Pia,-,-,chá de panela,,-
46,Luva Térmica para Cozinha,-,"Preto, Cinza ou Azul",chá de panela,,-
45,Porta Guardanapo de Mesa,-,-,chá de panela,,-
44,Manteigueira,-,-,chá de panela,,-
43,Balança de Cozinha,-,-,chá de panela,,-
42,Assadeira,-,Preto ou Inox,chá de panela,,-
41,Forma de Bolo,-,-,chá de panela,,-
40,Petisqueira de Madeira,-,-,chá de panela,,-
39,Bandeja Decorativa Espelhada,-,-,chá de panela,,-
38,Conjunto Galheteiro,-,Inox ou Vidro,chá de panela,,-
37,Açucareiro,-,"Cerâmica, Bambu ou Inox",chá de panela,,-
36,Colher de Sorvete + Funil,-,Preto ou Inox,chá de panela,,-
35,Cortador de Batata Palito,-,Preto ou Inox,chá de panela,,-
34,Tesoura de Cozinha + Descascador de Legumes,-,-,chá de panela,,-
33,Conjunto Peneira/Coador,-,Aço Inox,chá de panela,,-
32,Conjunto Descanso De Panela,-,"Tons Pasteis, Bege, Marrom, etc...",chá de panela,,-
31,Conjunto Vassoura + Rodo + Pá,-,-,chá de panela,,-
30,Conjunto de Xícaras de Café,-,"Preto, Branco ou Marrom",chá de panela,,-
29,Conjunto de Pratos,-,Tons Pasteis ou Branco,chá de panela,,-
28,Conjunto de Pirex com Tampa,-,-,chá de panela,,-
27,Jogo para Vinho de Aço Inox,-,Preto ou Prata,chá de panela,,-
26,Jogo de Faqueiro Aço Inox,-,-,chá de panela,,-
25,Jogo De Taças Para Água e Vinho Diamond,-,Transparente,chá de panela,,-
24,Jogo de Copos,-,Transparente,chá de panela,,-
23,Jogo de Facas + Afiador de Faca,-,Preto,chá de panela,,-
22,Jogo de Sousplat Americano Redondo,-,"Tons Pasteis, Bege, Marrom, etc...",chá de panela,,-
21,Kit Prendedor De Roupa 30 Peças + Cestinho,-,Sem Preferência,chá de panela,,-
20,Kit 3 Tapetes de Cozinha,-,"Tons Pasteis, Preto, Bege ou Marron",chá de panela,,-
19,Kit Descanso De Panela,-,Madeira ou Vime,chá de panela,,-
18,Kit 50 Cabides,-,"Preto, Transparente ou Madeira",chá de panela,,-
17,Kit Pano de Prato,-,"Preto, Branco ou Marrom",chá de panela,,-
16,Kit 3 Formas Pizza Assadeira Redonda Antiaderente,-,Preto ou Inox,chá de panela,,-
15,Kit 12 Utensílios De Cozinha,-,Preto ou Cinza,chá de panela,,-
